id,entPhysicalIndex,entPhysicalDescr,entPhysicalVendorType,entPhysicalContainedIn,entPhysicalClass,entPhysicalParentRelPos,entPhysicalName,entPhysicalHardwareRev,entPhysicalFirmwareRev,entPhysicalSoftwareRev,entPhysicalSerialNum,entPhysicalMfgName,entPhysicalModelName,entPhysicalAlias,entPhysicalAssetID,entPhysicalIsFRU,entPhysicalMfgDate,entPhysicalUris
222,222,LDS6525 tPFPGA,.0.0,13,sensor,204,LDS6525 tPFPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
223,223,LDS6525 tInlet,.0.0,13,sensor,205,LDS6525 tInlet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
224,224,LDS6525 tFB-FPGA,.0.0,13,sensor,206,LDS6525 tFB-FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
225,225,LDS6525 tEnet,.0.0,13,sensor,207,LDS6525 tEnet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
226,226,LDS6525 tEthPHY,.0.0,13,sensor,208,LDS6525 tEthPHY,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
227,227,LDS6525 v12.0BP,.0.0,13,sensor,209,LDS6525 v12.0BP,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
228,228,LDS6525 v12.0,.0.0,13,sensor,210,LDS6525 v12.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
229,229,LDS6525 iCPU,.0.0,13,sensor,211,LDS6525 iCPU,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
230,230,LDS6525 v12.0A,.0.0,13,sensor,212,LDS6525 v12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
231,231,LDS6525 v-12.0A,.0.0,13,sensor,213,LDS6525 v-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
232,232,LDS6525 v1.8FPGA,.0.0,13,sensor,214,LDS6525 v1.8FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
233,233,LDS6525 v0.67MEM,.0.0,13,sensor,215,LDS6525 v0.67MEM,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
234,234,LDS6525 vCR,.0.0,13,sensor,216,LDS6525 vCR,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
235,235,LDS6525 v1.35,.0.0,13,sensor,217,LDS6525 v1.35,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
236,236,LDS6525 v2.5,.0.0,13,sensor,218,LDS6525 v2.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
237,237,LDS6525 vBATTERY,.0.0,13,sensor,219,LDS6525 vBATTERY,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
238,238,LDS6525 v5.0,.0.0,13,sensor,220,LDS6525 v5.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
239,239,LDS6525 v0.85,.0.0,13,sensor,221,LDS6525 v0.85,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
240,240,LDS6525 v3.3A,.0.0,13,sensor,222,LDS6525 v3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
241,241,LDS6525 v3.3,.0.0,13,sensor,223,LDS6525 v3.3,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
242,242,LDS6525 i12.0A,.0.0,13,sensor,224,LDS6525 i12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
243,243,LDS6525 v0.9,.0.0,13,sensor,225,LDS6525 v0.9,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
244,244,LDS6525 v1.8,.0.0,13,sensor,226,LDS6525 v1.8,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
245,245,LDS6525 v1.5,.0.0,13,sensor,227,LDS6525 v1.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
246,246,LDS6525 v1.2,.0.0,13,sensor,228,LDS6525 v1.2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
247,247,LDS6525 v1.05,.0.0,13,sensor,229,LDS6525 v1.05,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
248,248,LDS6525 v3.3M,.0.0,13,sensor,230,LDS6525 v3.3M,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
249,249,LDS6525 vBATT,.0.0,13,sensor,231,LDS6525 vBATT,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
250,250,LDS6525 i-12.0A,.0.0,13,sensor,232,LDS6525 i-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
251,251,LDS6525 v1.2FPGA,.0.0,13,sensor,233,LDS6525 v1.2FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
252,252,LDS6525 v1.0FPGA,.0.0,13,sensor,234,LDS6525 v1.0FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
253,253,LDS6525 v1.0,.0.0,13,sensor,235,LDS6525 v1.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
254,254,LDS6525 v0.67,.0.0,13,sensor,236,LDS6525 v0.67,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
255,255,LDS6525 v1.5A,.0.0,13,sensor,237,LDS6525 v1.5A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
256,256,LDS6525 FS-R,.0.0,9,sensor,238,LDS6525 FS-R,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
257,257,LDS6525 FS-M1,.0.0,9,sensor,239,LDS6525 FS-M1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
258,258,LDS6525 FS-M2,.0.0,9,sensor,240,LDS6525 FS-M2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
259,259,LDS6525 tECB,.0.0,13,sensor,241,LDS6525 tECB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
260,260,LDS6525 vECBIn,.0.0,13,sensor,242,LDS6525 vECBIn,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
261,261,LDS6525 vECBOut,.0.0,13,sensor,243,LDS6525 vECBOut,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
262,262,LDS6525 iECB,.0.0,13,sensor,244,LDS6525 iECB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
263,263,LDS6525 VerChng,.0.0,13,sensor,245,LDS6525 VerChng,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
264,264,LDS6525 IPMB,.0.0,14,sensor,246,LDS6525 IPMB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
265,265,LDS6525 Health,.0.0,14,sensor,247,LDS6525 Health,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
266,266,LDS6525 VSO Volt,.0.0,14,sensor,248,LDS6525 VSO Volt,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
267,267,LDS6525 VSO Temp,.0.0,14,sensor,249,LDS6525 VSO Temp,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
268,268,LDS6525 PLT Res,.0.0,14,sensor,250,LDS6525 PLT Res,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
269,269,LDS6525 PLT Sts,.0.0,14,sensor,251,LDS6525 PLT Sts,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
270,270,LDS6525 ProcThrm,.0.0,14,sensor,252,LDS6525 ProcThrm,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
271,271,LDS6525 tBoard1,.0.0,14,sensor,253,LDS6525 tBoard1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
272,272,LDS6525 tBoard,.0.0,14,sensor,254,LDS6525 tBoard,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
273,273,LDS6525 tOutlet,.0.0,14,sensor,0,LDS6525 tOutlet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
274,274,LDS6525 tPFPGA,.0.0,14,sensor,1,LDS6525 tPFPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
275,275,LDS6525 tInlet,.0.0,14,sensor,2,LDS6525 tInlet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
276,276,LDS6525 tFB-FPGA,.0.0,14,sensor,3,LDS6525 tFB-FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
277,277,LDS6525 tEnet,.0.0,14,sensor,4,LDS6525 tEnet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
278,278,LDS6525 tEthPHY,.0.0,14,sensor,5,LDS6525 tEthPHY,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
279,279,LDS6525 v12.0BP,.0.0,14,sensor,6,LDS6525 v12.0BP,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
280,280,LDS6525 v12.0,.0.0,14,sensor,7,LDS6525 v12.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
281,281,LDS6525 iCPU,.0.0,14,sensor,8,LDS6525 iCPU,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
282,282,LDS6525 v12.0A,.0.0,14,sensor,9,LDS6525 v12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
283,283,LDS6525 v-12.0A,.0.0,14,sensor,10,LDS6525 v-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
284,284,LDS6525 v1.8FPGA,.0.0,14,sensor,11,LDS6525 v1.8FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
285,285,LDS6525 v0.67MEM,.0.0,14,sensor,12,LDS6525 v0.67MEM,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
286,286,LDS6525 vCR,.0.0,14,sensor,13,LDS6525 vCR,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
287,287,LDS6525 v1.35,.0.0,14,sensor,14,LDS6525 v1.35,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
288,288,LDS6525 v2.5,.0.0,14,sensor,15,LDS6525 v2.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
289,289,LDS6525 vBATTERY,.0.0,14,sensor,16,LDS6525 vBATTERY,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
290,290,LDS6525 v5.0,.0.0,14,sensor,17,LDS6525 v5.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
291,291,LDS6525 v0.85,.0.0,14,sensor,18,LDS6525 v0.85,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
292,292,LDS6525 v3.3A,.0.0,14,sensor,19,LDS6525 v3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
293,293,LDS6525 v3.3,.0.0,14,sensor,20,LDS6525 v3.3,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
294,294,LDS6525 i12.0A,.0.0,14,sensor,21,LDS6525 i12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
295,295,LDS6525 v0.9,.0.0,14,sensor,22,LDS6525 v0.9,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
296,296,LDS6525 v1.8,.0.0,14,sensor,23,LDS6525 v1.8,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
297,297,LDS6525 v1.5,.0.0,14,sensor,24,LDS6525 v1.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
298,298,LDS6525 v1.2,.0.0,14,sensor,25,LDS6525 v1.2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
299,299,LDS6525 v1.05,.0.0,14,sensor,26,LDS6525 v1.05,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
300,300,LDS6525 v3.3M,.0.0,14,sensor,27,LDS6525 v3.3M,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
301,301,LDS6525 vBATT,.0.0,14,sensor,28,LDS6525 vBATT,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
302,302,LDS6525 i-12.0A,.0.0,14,sensor,29,LDS6525 i-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
303,303,LDS6525 v1.2FPGA,.0.0,14,sensor,30,LDS6525 v1.2FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
304,304,LDS6525 v1.0FPGA,.0.0,14,sensor,31,LDS6525 v1.0FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
305,305,LDS6525 v1.0,.0.0,14,sensor,32,LDS6525 v1.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
306,306,LDS6525 v0.67,.0.0,14,sensor,33,LDS6525 v0.67,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
307,307,LDS6525 v1.5A,.0.0,14,sensor,34,LDS6525 v1.5A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
308,308,LDS6525 FS-R,.0.0,9,sensor,35,LDS6525 FS-R,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
309,309,LDS6525 FS-M1,.0.0,9,sensor,36,LDS6525 FS-M1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
310,310,LDS6525 FS-M2,.0.0,9,sensor,37,LDS6525 FS-M2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
311,311,LDS6525 tVSO-M2,.0.0,14,sensor,38,LDS6525 tVSO-M2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
312,312,LDS6525 tECB,.0.0,14,sensor,39,LDS6525 tECB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
313,313,LDS6525 vECBIn,.0.0,14,sensor,40,LDS6525 vECBIn,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
314,314,LDS6525 vECBOut,.0.0,14,sensor,41,LDS6525 vECBOut,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
315,315,LDS6525 iECB,.0.0,14,sensor,42,LDS6525 iECB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
316,316,LDS6525 VerChng,.0.0,14,sensor,43,LDS6525 VerChng,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
