id,entPhysicalIndex,entPhysicalDescr,entPhysicalVendorType,entPhysicalContainedIn,entPhysicalClass,entPhysicalParentRelPos,entPhysicalName,entPhysicalHardwareRev,entPhysicalFirmwareRev,entPhysicalSoftwareRev,entPhysicalSerialNum,entPhysicalMfgName,entPhysicalModelName,entPhysicalAlias,entPhysicalAssetID,entPhysicalIsFRU,entPhysicalMfgDate,entPhysicalUris
87,87,LDS6523 i12.0,.0.0,10,sensor,69,LDS6523 i12.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
88,88,LDS6523 v12.0A,.0.0,10,sensor,70,LDS6523 v12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
89,89,LDS6523 v-12.0A,.0.0,10,sensor,71,LDS6523 v-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
90,90,LDS6523 v1.8A,.0.0,10,sensor,72,LDS6523 v1.8A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
91,91,LDS6523 vCR,.0.0,10,sensor,73,LDS6523 vCR,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
92,92,LDS6523 vAXG,.0.0,10,sensor,74,LDS6523 vAXG,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
93,93,LDS6523 vCCSA,.0.0,10,sensor,75,LDS6523 vCCSA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
94,94,LDS6523 v2.5,.0.0,10,sensor,76,LDS6523 v2.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
95,95,LDS6523 v5.0,.0.0,10,sensor,77,LDS6523 v5.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
96,96,LDS6523 i3.3A,.0.0,10,sensor,78,LDS6523 i3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
97,97,LDS6523 v3.3A,.0.0,10,sensor,79,LDS6523 v3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
98,98,LDS6523 v3.3,.0.0,10,sensor,80,LDS6523 v3.3,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
99,99,LDS6523 i12.0A,.0.0,10,sensor,81,LDS6523 i12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
100,100,LDS6523 v0.9,.0.0,10,sensor,82,LDS6523 v0.9,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
101,101,LDS6523 v1.8,.0.0,10,sensor,83,LDS6523 v1.8,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
102,102,LDS6523 v1.5,.0.0,10,sensor,84,LDS6523 v1.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
